# m1_source m2_source a1 a2 costilt1 costilt2 ecc
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
2.181683028618747855e+01 5.271389518078437142e+00 6.021024769245028052e-01 9.389602500050127087e-01 6.929216009459046033e-01 3.366460773442397914e-01 0.1
