# m1_source m2_source a1 a2 costilt1 costilt2 ecc
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
1.524591066616525659e+00 1.227755192441344345e+00 1.808936436058500644e-02 1.364835105868837661e-02 8.068773051962115916e-01 -5.907562673015956944e-01 0.1
